episode,reward,alloc_lte,alloc_nr,demand_lte,demand_nr
189,-1.2972765129239097,0.59999996,59.148598,24.698135,25.923948
190,-14.376350922928713,0.59726584,59.402737,24.717741,25.950935
191,-0.28895965998688844,16.549522,43.450478,25.025562,25.854277
192,-0.9420993540874054,0.59999996,0.59999996,24.933767,17.276388
193,-0.5077602371797028,31.88306,0.59999996,24.858944,18.352009
194,-0.6743523482765656,8.978501,0.59999996,24.928574,19.471552
195,-0.9457380501395001,0.59999996,0.59999996,24.877932,19.409424
196,-1.9943526360743125,0.59999996,54.475914,25.17221,19.86463
197,-0.9473884597913074,0.59999996,0.59999996,25.721209,19.995518
198,-0.9616213034909382,51.021435,0.59999996,25.624481,20.007694
199,-1.9656734343383064,0.59999996,53.947983,25.811924,19.793905
200,-0.49939120510062207,32.358273,0.59999996,25.963264,19.08568
201,-0.872022190796061,49.04229,0.59999996,25.84787,19.309175
202,-0.9460886313466546,0.59999996,0.59999996,26.102274,18.932722
203,-0.6626915871072647,0.59999996,30.29858,22.90484,18.771486
204,-2.806987961280818,0.59999996,58.571712,18.87238,18.520506
205,-0.9370189560817739,0.59999996,0.59999996,18.56385,18.936785
206,-0.9370836651101655,0.59999996,0.59999996,18.841002,18.695736
207,-0.8905962349932572,38.106285,0.59999996,19.863733,18.975925
208,-2.8030087208639785,0.59999996,58.24309,19.760479,18.431057
209,-1.2010741882941502,0.749693,41.915974,20.867643,18.936064
210,-2.602086983984522,0.59999996,57.589867,21.749413,18.797892
211,-0.4729102387115436,0.59999996,17.244331,19.246151,18.84308
212,-2.6240258583481193,0.59999996,57.342453,19.269695,18.642504
213,-0.6376937354533485,31.64152,0.59999996,20.011282,18.929827
214,-2.434595876775184,0.59999996,55.242886,18.513906,18.51819
215,-0.9359798868524098,0.59999996,0.59999996,17.914473,18.994953
216,-1.7591225664643062,47.594803,0.59999996,18.295551,25.575788
217,-1.3305839281913538,0.5987663,59.401234,18.18864,25.673208
218,-0.9466473248494438,0.59999996,0.59999996,19.61576,25.522022
219,-0.6453880380310473,0.59999996,10.462262,20.7004,25.507477
220,-1.3809785621703998,0.59999996,59.362686,20.259222,25.269432
221,-0.7514666824089833,5.451458,0.59999996,21.074915,25.427553
222,-0.9473710362392769,0.59999996,0.59999996,20.124023,25.493685
223,-0.9479637578822651,0.59999996,0.59999996,20.893469,24.979267
224,-0.22484034407906986,18.295706,41.704296,20.290771,25.0727
