Episode 208, Reward: -2.80, | Demand=(19.76, 18.43) | Alloc=(0.60, 58.24)
Episode 209, Reward: -1.20, | Demand=(20.87, 18.94) | Alloc=(0.75, 41.92)
Episode 210, Reward: -2.60, | Demand=(21.75, 18.80) | Alloc=(0.60, 57.59)
Episode 211, Reward: -0.47, | Demand=(19.25, 18.84) | Alloc=(0.60, 17.24)
Episode 212, Reward: -2.62, | Demand=(19.27, 18.64) | Alloc=(0.60, 57.34)
Episode 213, Reward: -0.64, | Demand=(20.01, 18.93) | Alloc=(31.64, 0.60)
Episode 214, Reward: -2.43, | Demand=(18.51, 18.52) | Alloc=(0.60, 55.24)
Episode 215, Reward: -0.94, | Demand=(17.91, 18.99) | Alloc=(0.60, 0.60)
Episode 216, Reward: -1.76, | Demand=(18.30, 25.58) | Alloc=(47.59, 0.60)
Episode 217, Reward: -1.33, | Demand=(18.19, 25.67) | Alloc=(0.60, 59.40)
Episode 218, Reward: -0.95, | Demand=(19.62, 25.52) | Alloc=(0.60, 0.60)
Episode 219, Reward: -0.65, | Demand=(20.70, 25.51) | Alloc=(0.60, 10.46)
Episode 220, Reward: -1.38, | Demand=(20.26, 25.27) | Alloc=(0.60, 59.36)
Episode 221, Reward: -0.75, | Demand=(21.07, 25.43) | Alloc=(5.45, 0.60)
Episode 222, Reward: -0.95, | Demand=(20.12, 25.49) | Alloc=(0.60, 0.60)
Episode 223, Reward: -0.95, | Demand=(20.89, 24.98) | Alloc=(0.60, 0.60)
Episode 224, Reward: -0.22, | Demand=(20.29, 25.07) | Alloc=(18.30, 41.70)
Episode 225, Reward: -0.95, | Demand=(20.10, 25.63) | Alloc=(0.60, 0.60)
Episode 226, Reward: -1.97, | Demand=(20.01, 25.48) | Alloc=(54.56, 0.60)
Episode 227, Reward: -0.64, | Demand=(19.78, 25.18) | Alloc=(0.60, 10.69)
Episode 228, Reward: -0.64, | Demand=(25.71, 25.49) | Alloc=(10.88, 0.60)
Episode 229, Reward: -0.16, | Demand=(25.98, 25.13) | Alloc=(25.89, 10.89)
Episode 230, Reward: -0.95, | Demand=(25.93, 25.13) | Alloc=(0.60, 0.60)
Episode 231, Reward: -0.50, | Demand=(26.06, 24.85) | Alloc=(0.60, 19.67)
Episode 232, Reward: -0.58, | Demand=(25.61, 25.04) | Alloc=(0.60, 36.49)
Episode 233, Reward: -0.95, | Demand=(25.50, 25.36) | Alloc=(0.60, 0.60)
Episode 234, Reward: -0.45, | Demand=(25.65, 25.00) | Alloc=(14.13, 45.87)
Episode 235, Reward: -0.95, | Demand=(25.69, 25.39) | Alloc=(0.60, 0.60)
Episode 236, Reward: -0.48, | Demand=(25.23, 25.92) | Alloc=(22.15, 0.60)
Episode 237, Reward: -1.09, | Demand=(25.17, 25.79) | Alloc=(0.60, 54.26)
Episode 238, Reward: -1.21, | Demand=(25.18, 25.93) | Alloc=(55.73, 0.60)
Episode 239, Reward: -1.03, | Demand=(25.37, 25.57) | Alloc=(0.60, 52.48)
Episode 240, Reward: -0.48, | Demand=(25.20, 20.10) | Alloc=(0.60, 21.74)
Episode 241, Reward: -0.50, | Demand=(25.17, 19.00) | Alloc=(31.04, 0.60)
Episode 242, Reward: -0.49, | Demand=(24.47, 19.93) | Alloc=(29.87, 0.60)
Episode 243, Reward: -0.16, | Demand=(25.00, 22.08) | Alloc=(25.56, 34.44)
Episode 244, Reward: -1.10, | Demand=(25.06, 21.26) | Alloc=(0.60, 44.92)
Episode 245, Reward: -0.95, | Demand=(24.69, 19.87) | Alloc=(0.60, 0.60)
Episode 246, Reward: -0.95, | Demand=(24.31, 19.33) | Alloc=(0.60, 0.60)
Episode 247, Reward: -0.38, | Demand=(24.88, 18.89) | Alloc=(24.58, 35.42)
Episode 248, Reward: -0.94, | Demand=(23.66, 17.82) | Alloc=(0.60, 0.60)
Episode 249, Reward: -1.05, | Demand=(23.67, 17.73) | Alloc=(49.23, 0.60)
Episode 250, Reward: -2.32, | Demand=(24.65, 20.07) | Alloc=(0.60, 58.58)
Episode 251, Reward: -0.58, | Demand=(20.81, 21.02) | Alloc=(0.60, 30.71)
Episode 252, Reward: -0.81, | Demand=(19.81, 18.78) | Alloc=(3.41, 0.68)
Episode 253, Reward: -1.15, | Demand=(21.09, 19.77) | Alloc=(11.63, 48.37)
Episode 254, Reward: -2.34, | Demand=(20.60, 20.19) | Alloc=(0.60, 59.21)
Episode 255, Reward: -0.55, | Demand=(19.95, 19.27) | Alloc=(0.60, 26.93)
Episode 256, Reward: -1.00, | Demand=(20.72, 19.27) | Alloc=(42.09, 0.60)
